network,attr,method,lam,nodes (n),clusters (k),groups (h),igraph_modularity,average balance,cluster balances,average individual balance,individual node balances,interaction matrix,loss,layers
Facebook,Country,deep_fair_nmf,0.001,155,2,2,0.45395371722748756,0.4572740024970626,[0.37288135 0.54166666],0.44876264071351174,"[0.42372821 0.42372821 0.42372821 0.44827521 0.44827521 0.44827521
 0.46808442 0.46808442 0.46808442 0.42372821 0.46808442 0.46808442
 0.46808442 0.46808442 0.46808442 0.46808442 0.44827521 0.42372821
 0.46808442 0.46808442 0.46808442 0.43749937 0.46808442 0.46808442
 0.42372821 0.44827521 0.44827521 0.43749937 0.44827521 0.46808442
 0.42372821 0.46808442 0.44827521 0.42372821 0.42372821 0.44827521
 0.42372821 0.44827521 0.46808442 0.42372821 0.46808442 0.46808442
 0.44827521 0.43749937 0.46808442 0.43749937 0.44827521 0.46808442
 0.46808442 0.44827521 0.46808442 0.43749937 0.44827521 0.44827521
 0.44827521 0.46808442 0.46808442 0.46808442 0.42372821 0.46808442
 0.42372821 0.44827521 0.44827521 0.46808442 0.42372821 0.42372821
 0.43749937 0.46808442 0.46808442 0.42372821 0.44827521 0.43749937
 0.44827521 0.46808442 0.42372821 0.46808442 0.42372821 0.43749937
 0.42372821 0.44827521 0.43749937 0.46808442 0.44827521 0.43749937
 0.43749937 0.42372821 0.46808442 0.44827521 0.43749937 0.43749937
 0.44827521 0.46808442 0.46808442 0.44827521 0.44827521 0.44827521
 0.44827521 0.44827521 0.44827521 0.44827521 0.44827521 0.46808442
 0.46808442 0.42372821 0.44827521 0.44827521 0.43749937 0.42372821
 0.43749937 0.46808442 0.44827521 0.43749937 0.46808442 0.43749937
 0.44827521 0.43749937 0.44827521 0.46808442 0.42372821 0.44827521
 0.44827521 0.42372821 0.46808442 0.46808442 0.43749937 0.44827521
 0.42372821 0.46808442 0.46808442 0.46808442 0.44827521 0.46808442
 0.44827521 0.46808442 0.42372821 0.44827521 0.43749937 0.44827521
 0.44827521 0.44827521 0.44827521 0.44827521 0.44827521 0.44827521
 0.44827521 0.43749937 0.44827521 0.44827521 0.44827521 0.44827521
 0.44827521 0.43749937 0.44827521 0.44827521 0.44827521]","tensor([[1.9372e+00, 2.8026e-45],
        [2.8026e-45, 1.0367e+00]])","tensor([2229.1267, 2178.5557, 2129.8123, 2075.8206, 2014.6089, 1958.3105,
        1918.2875, 1893.9214, 1879.3693, 1870.0134, 1863.2212, 1857.2312,
        1850.1595, 1840.0969, 1828.5372, 1818.6592, 1811.1926, 1805.7412,
        1801.8126, 1798.9852, 1796.9518, 1795.5056, 1794.4814, 1793.7517,
        1793.2275, 1792.8474, 1792.5746, 1792.3771, 1792.2336, 1792.1276,
        1792.0481, 1791.9840, 1791.9324, 1791.8912, 1791.8577, 1791.8301,
        1791.8075, 1791.7900, 1791.7748, 1791.7628, 1791.7538, 1791.7457,
        1791.7399, 1791.7330, 1791.7281, 1791.7240, 1791.7198, 1791.7166,
        1791.7124, 1791.7098, 1791.7075, 1791.7056, 1791.7017, 1791.6992,
        1791.6967, 1791.6951, 1791.6931, 1791.6902, 1791.6892, 1791.6876,
        1791.6866, 1791.6844, 1791.6837, 1791.6821, 1791.6805, 1791.6792,
        1791.6782, 1791.6780, 1791.6763, 1791.6757, 1791.6741, 1791.6735,
        1791.6731, 1791.6721, 1791.6711, 1791.6711, 1791.6705, 1791.6699,
        1791.6696, 1791.6689, 1791.6680, 1791.6676, 1791.6670, 1791.6663,
        1791.6656, 1791.6654, 1791.6650, 1791.6647, 1791.6644, 1791.6636,
        1791.6626, 1791.6624, 1791.6624, 1791.6624, 1791.6620, 1791.6624,
        1791.6616, 1791.6616, 1791.6614, 1791.6608, 1791.6610, 1791.6610,
        1791.6608, 1791.6608, 1791.6604, 1791.6600, 1791.6600, 1791.6598,
        1791.6594, 1791.6591, 1791.6591, 1791.6594, 1791.6594, 1791.6594,
        1791.6594, 1791.6591, 1791.6591, 1791.6591, 1791.6588, 1791.6588,
        1791.6584, 1791.6584, 1791.6584, 1791.6581, 1791.6581, 1791.6578,
        1791.6575, 1791.6575, 1791.6571, 1791.6571, 1791.6571, 1791.6571,
        1791.6571, 1791.6571, 1791.6569, 1791.6571, 1791.6571, 1791.6569,
        1791.6569, 1791.6569, 1791.6567, 1791.6567, 1791.6567, 1791.6567,
        1791.6567, 1791.6570, 1791.6570, 1791.6570, 1791.6567, 1791.6567,
        1791.6567, 1791.6567, 1791.6564, 1791.6567, 1791.6564, 1791.6567,
        1791.6567, 1791.6564, 1791.6564, 1791.6560, 1791.6560, 1791.6558,
        1791.6558, 1791.6558, 1791.6558, 1791.6558, 1791.6558, 1791.6558,
        1791.6558, 1791.6558, 1791.6558, 1791.6558, 1791.6558, 1791.6558,
        1791.6558, 1791.6558, 1791.6558, 1791.6558, 1791.6558, 1791.6558,
        1791.6558, 1791.6558, 1791.6558, 1791.6558, 1791.6558, 1791.6558,
        1791.6558, 1791.6556, 1791.6553, 1791.6553, 1791.6556, 1791.6556,
        1791.6556, 1791.6556, 1791.6553, 1791.6553, 1791.6550, 1791.6553,
        1791.6550, 1791.6550, 1791.6550, 1791.6550, 1791.6550, 1791.6550,
        1791.6550, 1791.6550, 1791.6550, 1791.6553, 1791.6553, 1791.6550,
        1791.6550, 1791.6550, 1791.6550, 1791.6550, 1791.6553, 1791.6550,
        1791.6550, 1791.6550, 1791.6553, 1791.6553, 1791.6550, 1791.6553,
        1791.6553, 1791.6553, 1791.6550, 1791.6553, 1791.6550, 1791.6553,
        1791.6553, 1791.6553, 1791.6553, 1791.6553, 1791.6550, 1791.6550,
        1791.6550, 1791.6552, 1791.6552, 1791.6549, 1791.6552, 1791.6552,
        1791.6549, 1791.6552, 1791.6552, 1791.6549, 1791.6549, 1791.6552,
        1791.6552, 1791.6552, 1791.6552, 1791.6552, 1791.6555, 1791.6552,
        1791.6552, 1791.6552, 1791.6552, 1791.6552, 1791.6555, 1791.6552,
        1791.6552, 1791.6555, 1791.6555, 1791.6555, 1791.6552, 1791.6555,
        1791.6555, 1791.6555, 1791.6555, 1791.6555, 1791.6555, 1791.6552,
        1791.6555, 1791.6555, 1791.6555, 1791.6552, 1791.6552, 1791.6555,
        1791.6552, 1791.6552, 1791.6552, 1791.6552, 1791.6552, 1791.6552,
        1791.6552, 1791.6555, 1791.6550, 1791.6554, 1791.6554, 1791.6550,
        1791.6554, 1791.6554, 1791.6554, 1791.6554, 1791.6554, 1791.6554,
        1791.6554, 1791.6554, 1791.6554, 1791.6550, 1791.6554, 1791.6550,
        1791.6554, 1791.6554, 1791.6550, 1791.6550, 1791.6550, 1791.6550,
        1791.6554, 1791.6550, 1791.6554, 1791.6550, 1791.6550, 1791.6554,
        1791.6550, 1791.6550, 1791.6550, 1791.6550, 1791.6550, 1791.6550,
        1791.6554, 1791.6550, 1791.6550, 1791.6550, 1791.6550, 1791.6550,
        1791.6550, 1791.6550, 1791.6550, 1791.6550, 1791.6550, 1791.6550,
        1791.6550, 1791.6550, 1791.6549, 1791.6549, 1791.6549, 1791.6549,
        1791.6549, 1791.6549, 1791.6549, 1791.6549, 1791.6549, 1791.6549,
        1791.6549, 1791.6549, 1791.6549, 1791.6549, 1791.6549, 1791.6549,
        1791.6549, 1791.6549, 1791.6549, 1791.6549, 1791.6549, 1791.6549,
        1791.6549, 1791.6549, 1791.6549, 1791.6549, 1791.6549, 1791.6547,
        1791.6549, 1791.6549, 1791.6549, 1791.6547, 1791.6549, 1791.6547,
        1791.6547, 1791.6543, 1791.6547, 1791.6547, 1791.6547, 1791.6547,
        1791.6547, 1791.6547, 1791.6549, 1791.6547, 1791.6547, 1791.6547,
        1791.6547, 1791.6547, 1791.6547, 1791.6542, 1791.6545, 1791.6542,
        1791.6545, 1791.6545, 1791.6545, 1791.6545, 1791.6542, 1791.6545,
        1791.6545, 1791.6545, 1791.6542, 1791.6542, 1791.6545, 1791.6545,
        1791.6545, 1791.6545, 1791.6542, 1791.6545, 1791.6545, 1791.6545,
        1791.6545, 1791.6545, 1791.6545, 1791.6545, 1791.6545, 1791.6545,
        1791.6545, 1791.6545, 1791.6542, 1791.6542, 1791.6542, 1791.6542,
        1791.6542, 1791.6542, 1791.6542, 1791.6542, 1791.6542, 1791.6545,
        1791.6542, 1791.6542, 1791.6542, 1791.6542, 1791.6542, 1791.6542,
        1791.6542, 1791.6542, 1791.6542, 1791.6542, 1791.6542, 1791.6541,
        1791.6541, 1791.6541, 1791.6541, 1791.6541, 1791.6541, 1791.6541,
        1791.6541, 1791.6541, 1791.6541, 1791.6541, 1791.6541, 1791.6541,
        1791.6537, 1791.6541, 1791.6541, 1791.6541, 1791.6541, 1791.6541,
        1791.6537, 1791.6541, 1791.6537, 1791.6537, 1791.6541, 1791.6537,
        1791.6537, 1791.6537, 1791.6537, 1791.6537, 1791.6537, 1791.6537,
        1791.6537, 1791.6537, 1791.6537, 1791.6537, 1791.6537, 1791.6537,
        1791.6537, 1791.6537, 1791.6537, 1791.6541, 1791.6537, 1791.6537,
        1791.6537, 1791.6537, 1791.6537, 1791.6537, 1791.6537, 1791.6537,
        1791.6536, 1791.6536, 1791.6536, 1791.6536, 1791.6536, 1791.6536,
        1791.6536, 1791.6536, 1791.6536, 1791.6536, 1791.6536, 1791.6536,
        1791.6536, 1791.6536, 1791.6536, 1791.6536, 1791.6536, 1791.6536,
        1791.6536, 1791.6536])","[40, 40, 2]"
Facebook,Country,deep_fair_nmf,0.01,155,2,2,0.45395371722748756,0.4572740024970626,[0.37288135 0.54166666],0.44876264071351174,"[0.42372821 0.42372821 0.42372821 0.44827521 0.44827521 0.44827521
 0.46808442 0.46808442 0.46808442 0.42372821 0.46808442 0.46808442
 0.46808442 0.46808442 0.46808442 0.46808442 0.44827521 0.42372821
 0.46808442 0.46808442 0.46808442 0.43749937 0.46808442 0.46808442
 0.42372821 0.44827521 0.44827521 0.43749937 0.44827521 0.46808442
 0.42372821 0.46808442 0.44827521 0.42372821 0.42372821 0.44827521
 0.42372821 0.44827521 0.46808442 0.42372821 0.46808442 0.46808442
 0.44827521 0.43749937 0.46808442 0.43749937 0.44827521 0.46808442
 0.46808442 0.44827521 0.46808442 0.43749937 0.44827521 0.44827521
 0.44827521 0.46808442 0.46808442 0.46808442 0.42372821 0.46808442
 0.42372821 0.44827521 0.44827521 0.46808442 0.42372821 0.42372821
 0.43749937 0.46808442 0.46808442 0.42372821 0.44827521 0.43749937
 0.44827521 0.46808442 0.42372821 0.46808442 0.42372821 0.43749937
 0.42372821 0.44827521 0.43749937 0.46808442 0.44827521 0.43749937
 0.43749937 0.42372821 0.46808442 0.44827521 0.43749937 0.43749937
 0.44827521 0.46808442 0.46808442 0.44827521 0.44827521 0.44827521
 0.44827521 0.44827521 0.44827521 0.44827521 0.44827521 0.46808442
 0.46808442 0.42372821 0.44827521 0.44827521 0.43749937 0.42372821
 0.43749937 0.46808442 0.44827521 0.43749937 0.46808442 0.43749937
 0.44827521 0.43749937 0.44827521 0.46808442 0.42372821 0.44827521
 0.44827521 0.42372821 0.46808442 0.46808442 0.43749937 0.44827521
 0.42372821 0.46808442 0.46808442 0.46808442 0.44827521 0.46808442
 0.44827521 0.46808442 0.42372821 0.44827521 0.43749937 0.44827521
 0.44827521 0.44827521 0.44827521 0.44827521 0.44827521 0.44827521
 0.44827521 0.43749937 0.44827521 0.44827521 0.44827521 0.44827521
 0.44827521 0.43749937 0.44827521 0.44827521 0.44827521]","tensor([[1.5872e+00, 2.8026e-45],
        [2.8026e-45, 9.9272e-01]])","tensor([1977.3970, 1916.8849, 1883.2372, 1859.5608, 1841.4269, 1827.5928,
        1817.2980, 1809.8234, 1804.5012, 1800.7803, 1798.2104, 1796.4547,
        1795.2601, 1794.4491, 1793.8969, 1793.5181, 1793.2577, 1793.0750,
        1792.9478, 1792.8560, 1792.7919, 1792.7435, 1792.7090, 1792.6825,
        1792.6627, 1792.6458, 1792.6339, 1792.6230, 1792.6140, 1792.6051,
        1792.5990, 1792.5927, 1792.5872, 1792.5824, 1792.5771, 1792.5729,
        1792.5675, 1792.5638, 1792.5599, 1792.5554, 1792.5518, 1792.5488,
        1792.5463, 1792.5433, 1792.5403, 1792.5374, 1792.5358, 1792.5331,
        1792.5320, 1792.5306, 1792.5283, 1792.5273, 1792.5260, 1792.5243,
        1792.5233, 1792.5214, 1792.5197, 1792.5182, 1792.5176, 1792.5168,
        1792.5159, 1792.5148, 1792.5138, 1792.5122, 1792.5105, 1792.5101,
        1792.5088, 1792.5074, 1792.5065, 1792.5059, 1792.5049, 1792.5039,
        1792.5028, 1792.5024, 1792.5011, 1792.5001, 1792.4995, 1792.4985,
        1792.4976, 1792.4968, 1792.4958, 1792.4955, 1792.4943, 1792.4939,
        1792.4922, 1792.4922, 1792.4908, 1792.4901, 1792.4895, 1792.4888,
        1792.4884, 1792.4874, 1792.4865, 1792.4857, 1792.4850, 1792.4846,
        1792.4836, 1792.4833, 1792.4823, 1792.4822, 1792.4818, 1792.4812,
        1792.4811, 1792.4801, 1792.4797, 1792.4790, 1792.4790, 1792.4777,
        1792.4769, 1792.4763, 1792.4756, 1792.4752, 1792.4751, 1792.4747,
        1792.4744, 1792.4736, 1792.4733, 1792.4733, 1792.4719, 1792.4722,
        1792.4714, 1792.4708, 1792.4705, 1792.4701, 1792.4694, 1792.4688,
        1792.4684, 1792.4677, 1792.4677, 1792.4673, 1792.4672, 1792.4662,
        1792.4648, 1792.4648, 1792.4645, 1792.4641, 1792.4636, 1792.4633,
        1792.4625, 1792.4615, 1792.4608, 1792.4608, 1792.4601, 1792.4594,
        1792.4594, 1792.4590, 1792.4586, 1792.4583, 1792.4575, 1792.4569,
        1792.4565, 1792.4558, 1792.4551, 1792.4545, 1792.4537, 1792.4534,
        1792.4528, 1792.4524, 1792.4521, 1792.4518, 1792.4514, 1792.4508,
        1792.4501, 1792.4493, 1792.4493, 1792.4486, 1792.4482, 1792.4479,
        1792.4475, 1792.4471, 1792.4465, 1792.4462, 1792.4454, 1792.4451,
        1792.4447, 1792.4440, 1792.4436, 1792.4430, 1792.4426, 1792.4419,
        1792.4415, 1792.4415, 1792.4412, 1792.4408, 1792.4397, 1792.4393,
        1792.4393, 1792.4390, 1792.4382, 1792.4379, 1792.4375, 1792.4371,
        1792.4365, 1792.4362, 1792.4360, 1792.4354, 1792.4351, 1792.4348,
        1792.4341, 1792.4337, 1792.4333, 1792.4326, 1792.4320, 1792.4316,
        1792.4313, 1792.4305, 1792.4305, 1792.4299, 1792.4296, 1792.4288,
        1792.4288, 1792.4285, 1792.4277, 1792.4277, 1792.4271, 1792.4268,
        1792.4261, 1792.4258, 1792.4254, 1792.4247, 1792.4243, 1792.4241,
        1792.4237, 1792.4233, 1792.4230, 1792.4226, 1792.4222, 1792.4220,
        1792.4214, 1792.4210, 1792.4207, 1792.4203, 1792.4197, 1792.4193,
        1792.4189, 1792.4182, 1792.4172, 1792.4175, 1792.4172, 1792.4166,
        1792.4159, 1792.4155, 1792.4152, 1792.4149, 1792.4149, 1792.4148,
        1792.4144, 1792.4139, 1792.4136, 1792.4128, 1792.4125, 1792.4121,
        1792.4119, 1792.4115, 1792.4111, 1792.4108, 1792.4105, 1792.4098,
        1792.4098, 1792.4091, 1792.4091, 1792.4088, 1792.4084, 1792.4081,
        1792.4077, 1792.4071, 1792.4065, 1792.4061, 1792.4058, 1792.4055,
        1792.4052, 1792.4048, 1792.4047, 1792.4044, 1792.4041, 1792.4037,
        1792.4033, 1792.4028, 1792.4027, 1792.4021, 1792.4014, 1792.4011,
        1792.4011, 1792.4010, 1792.4004, 1792.4001, 1792.3998, 1792.3990,
        1792.3984, 1792.3975, 1792.3971, 1792.3971, 1792.3969, 1792.3965,
        1792.3961, 1792.3961, 1792.3958, 1792.3951, 1792.3948, 1792.3942,
        1792.3938, 1792.3938, 1792.3932, 1792.3925, 1792.3915, 1792.3918,
        1792.3918, 1792.3911, 1792.3912, 1792.3909, 1792.3899, 1792.3896,
        1792.3893, 1792.3889, 1792.3893, 1792.3885, 1792.3879, 1792.3879,
        1792.3873, 1792.3870, 1792.3870, 1792.3866, 1792.3862, 1792.3857,
        1792.3850, 1792.3853, 1792.3848, 1792.3846, 1792.3842, 1792.3838,
        1792.3834, 1792.3832, 1792.3831, 1792.3826, 1792.3818, 1792.3818,
        1792.3816, 1792.3815, 1792.3810, 1792.3806, 1792.3802, 1792.3802,
        1792.3796, 1792.3794, 1792.3790, 1792.3784, 1792.3781, 1792.3777,
        1792.3772, 1792.3768, 1792.3766, 1792.3762, 1792.3762, 1792.3756,
        1792.3754, 1792.3746, 1792.3746, 1792.3740, 1792.3740, 1792.3734,
        1792.3730, 1792.3728, 1792.3724, 1792.3726, 1792.3718, 1792.3716,
        1792.3712, 1792.3710, 1792.3710, 1792.3704, 1792.3704, 1792.3701,
        1792.3698, 1792.3695, 1792.3688, 1792.3685, 1792.3682, 1792.3679,
        1792.3676, 1792.3677, 1792.3669, 1792.3667, 1792.3667, 1792.3661,
        1792.3654, 1792.3651, 1792.3651, 1792.3649, 1792.3645, 1792.3643,
        1792.3635, 1792.3636, 1792.3629, 1792.3627, 1792.3623, 1792.3624,
        1792.3621, 1792.3618, 1792.3616, 1792.3616, 1792.3610, 1792.3602,
        1792.3600, 1792.3594, 1792.3591, 1792.3588, 1792.3585, 1792.3583,
        1792.3582, 1792.3579, 1792.3575, 1792.3573, 1792.3573, 1792.3567,
        1792.3564, 1792.3568, 1792.3562, 1792.3558, 1792.3556, 1792.3553,
        1792.3550, 1792.3547, 1792.3547, 1792.3547, 1792.3544, 1792.3541,
        1792.3536, 1792.3533, 1792.3530, 1792.3527, 1792.3521, 1792.3518,
        1792.3518, 1792.3512, 1792.3510, 1792.3502, 1792.3500, 1792.3496,
        1792.3494, 1792.3491, 1792.3488, 1792.3485, 1792.3483, 1792.3479,
        1792.3477, 1792.3473, 1792.3474, 1792.3472, 1792.3464, 1792.3462,
        1792.3459, 1792.3453, 1792.3451, 1792.3451, 1792.3445, 1792.3442,
        1792.3440, 1792.3433, 1792.3427, 1792.3428, 1792.3420, 1792.3422,
        1792.3419, 1792.3416, 1792.3413, 1792.3411, 1792.3407, 1792.3405,
        1792.3402, 1792.3398, 1792.3396, 1792.3394, 1792.3390, 1792.3387,
        1792.3389, 1792.3381, 1792.3379, 1792.3376, 1792.3373, 1792.3370,
        1792.3368, 1792.3365, 1792.3362, 1792.3359, 1792.3357, 1792.3357,
        1792.3357, 1792.3352, 1792.3352, 1792.3348, 1792.3344, 1792.3337,
        1792.3334, 1792.3331, 1792.3325, 1792.3323, 1792.3319, 1792.3317,
        1792.3318, 1792.3311])","[40, 40, 2]"
