network,attr,method,lam,nodes (n),clusters (k),groups (h),Predictions,igraph_modularity,average balance,cluster balances,average individual balance,individual node balances,interaction matrix,loss,layers,clustering_accuracy,balanced_accuracy,macro_f1,NMI,ARI,delta_stat_par,delta_eq_odds
Pokec,Team,sfsc,,66569,2,4,"tensor([0, 0, 0,  ..., 0, 0, 0])",0.00019338731237052587,0.22498806282409867,[0.18330946 0.26666666],0.0014593274355468807,[0.0014647  0.00114162 0.00114162 ... 0.00158793 0.00213106 0.00213106],,,,0.8666346197178867,0.5003155688685578,0.11830581569686403,8.859597630080864e-05,-0.0009195435687734764,0.057300439989946106,0.003058103975535187
Pokec,Team,dmon,,66569,2,4,"tensor([0, 0, 1,  ..., 1, 1, 1])",0.16522640100370362,0.05897273303273837,[0.         0.11794547],0.16776177097029957,[0.05081962 0.54746695 0.54760349 ... 0.         0.         0.        ],,,,0.5062867100301942,0.5667656173282529,0.4439740531385016,0.007727515799508914,-0.002224079753267104,0.41433877356406534,0.9640813104401026
