network,attr,method,lam,nodes (n),clusters (k),groups (h),igraph_modularity,average balance,cluster balances,average individual balance,individual node balances,interaction matrix,loss,layers,clustering_accuracy,balanced_accuracy,macro_f1,NMI,ARI,delta_stat_par,delta_eq_odds
Pokec,Team,sfsc,,67796,2,4,0.00012945,0.0974308,[0.17563083 0.01923077],0.001187363,[0.0006503  0.0006503  0.00927081 ... 0.00927081 0.00059485 0.00927081],,,,0.847631129,0.500350757,0.132808686,0.0001471,-0.000971462,0.566484748,0.007380074
Pokec,Team,dmon,,67796,2,4,0.180156465,0.113593231,[0.17563083 0.01923077],0.155232673,[0.0006503  0.0006503  0.00927081 ... 0.00927081 0.00059485 0.00927081],,,,0.525222727,0.55721562,0.462066057,0.006058789,0.002467613,0.385647314,0.931984653
